"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";223.22;665.305;275.108;175.49;174.904;54.088;1568.115
"Integrierte Psychiatrie Winterthur - ZU";83.324;232.773;120.412;79.43;55.488;17.27;588.697
"Clienia Privatklinik Schlössli";62.748;199.455;81.59;45.418;81.196;10.584;480.991
"Sanatorium Kilchberg";49.068;113.88;59.38;43.188;61.5;5.63;332.646
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";418.36;1211.413;536.49;343.526;373.088;87.572;2970.449
"Modellstation SOMOSA";1;9.31;20.405;3.5;1.87;0.6;36.685
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";1;9.31;20.405;3.5;1.87;0.6;36.685
"Forel Klinik";12.93;19.61;37.468;18.26;27.47;3.67;119.408
"Suchtfachklinik Zürich";3.14;16.89;6.12;6.91;1.56;0.98;35.6
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";16.07;36.5;43.588;25.17;29.03;4.65;155.008
"Privatklinik Hohenegg";15.22;36.534;15.84;20.15;41.91;2.76;132.414
"Total Kanton Zürich";450.65;1293.757;616.323;392.346;445.898;95.582;3294.556
"Clienia Privatklinik Littenheid";50.77;188.364;91.148;43.73;71.522;11.48;457.014
"Klinik Meissenberg";14.494;40.509;17.001;10.122;26.274;3.92;112.32
"Klinik Sonnenhof";3.47;60.447;15.302;5.82;8.02;1.8;94.859
