"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";2093;66.2207357859532;10.8934543717152;18.3468705207836
"Integrierte Psychiatrie Winterthur - ZU";849;68.4334511189635;16.6077738515901;21.4369846878681
"Clienia Privatklinik Schlössli";720;70.6944444444444;20.1388888888889;17.2222222222222
"Sanatorium Kilchberg";473;68.7103594080338;20.9302325581395;7.39957716701903
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4135;67.7388149939541;14.8246674727932;17.5332527206771
"Modellstation SOMOSA";53;45.2830188679245;13.2075471698113;13.2075471698113
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";53;45.2830188679245;13.2075471698113;13.2075471698113
"Forel Klinik";155;70.9677419354839;27.0967741935484;5.16129032258065
"Suchtfachklinik Zürich";51;56.8627450980392;19.6078431372549;3.92156862745098
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";206;67.4757281553398;25.2427184466019;4.85436893203883
"Privatklinik Hohenegg";229;72.4890829694323;22.707423580786;0.436681222707424
"Total Kanton Zürich";4623;67.7049534934026;15.6608263032663;16.0718148388492
"Clienia Privatklinik Littenheid";623;75.7624398073836;26.3242375601926;11.0754414125201
"Klinik Meissenberg";180;76.1111111111111;27.2222222222222;25
"Klinik Sonnenhof";127;75.5905511811024;16.5354330708661;22.0472440944882
