"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";5;8;3;4;3;0;13;8;1;3;8;8;12;3;1;10;3;17;7;4;2;1;1;0;0;125;4134;42;4301
"Psychiatrische Universitätsklinik Zürich - Forensik";4;2;0;1;0;0;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;13;33;1;47
"Integrierte Psychiatrie Winterthur - ZU";10;11;2;5;0;0;7;4;1;2;2;2;25;3;0;12;3;23;12;2;0;1;0;2;0;129;3270;20;3419
"Clienia Privatklinik Schlössli";1;7;0;9;0;1;5;12;1;5;3;4;7;2;0;29;3;17;3;3;0;0;0;1;0;113;2486;10;2609
"Sanatorium Kilchberg";4;15;0;26;1;0;2;14;1;5;4;3;2;1;1;14;8;64;10;8;1;2;0;1;0;187;1859;20;2066
"Zentrum für Psychiatrie und Psychotherapie Affoltern";5;6;0;5;0;1;0;5;1;1;2;0;1;0;0;10;1;25;0;0;0;0;0;0;0;63;358;1;422
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";29;49;5;50;4;2;29;43;5;16;19;17;49;9;2;76;18;146;33;17;3;4;1;4;0;630;12140;94;12864
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;7;367;1;375
"Modellstation SOMOSA";0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;2;0;0;0;0;0;0;10;15;0;25
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;13;39;0;52
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;23;0;25
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;3;2;1;0;0;1;3;2;0;1;4;2;0;0;1;0;9;3;0;0;0;0;0;0;32;444;1;477
"Forel Klinik";2;5;0;12;3;2;2;1;0;5;6;8;28;3;1;26;8;14;35;0;0;0;0;0;0;161;427;4;592
"Suchtfachklinik Zürich";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;9;141;1;151
"USZ - Zentrum für Essstörungen";1;6;1;2;1;0;0;2;0;0;1;3;0;0;0;2;1;4;1;0;0;0;0;0;0;25;19;0;44
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";3;11;1;16;4;2;2;3;0;5;7;11;28;3;1;29;9;24;36;0;0;0;0;0;0;195;587;5;787
"Privatklinik Hohenegg";2;26;1;24;1;9;3;8;1;5;9;10;5;5;2;23;3;60;8;2;1;1;0;0;0;209;269;9;487
"Total Kanton Zürich";34;89;9;91;9;13;35;57;8;26;36;42;84;17;5;129;30;239;80;19;4;5;1;4;0;1066;13440;109;14615
"Clienia Privatklinik Littenheid";33;103;20;197;8;6;17;97;1;17;17;13;48;71;10;282;51;92;724;1;0;6;0;0;0;1814;323;25;2162
"Spitäler Schaffhausen";1;1;0;1;0;0;0;0;0;0;0;0;580;0;0;2;0;4;8;0;0;0;0;0;0;597;162;17;776
"Klinik Meissenberg";21;81;3;27;9;3;1;49;0;28;2;5;5;4;1;1;5;91;2;0;1;3;0;0;0;342;172;4;518
"Klinik Sonnenhof";1;0;0;1;0;0;3;0;0;1;0;0;4;10;5;154;0;0;6;0;0;0;0;0;0;185;39;0;224
