"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Psychiatrische Universitätsklinik Zürich";156912.713;67690.258;0;47455.102;272058.073
"Integrierte Psychiatrie Winterthur - ZU";66607.847;23659.258;18.557;8302.278;98587.94
"Clienia Privatklinik Schlössli";64617.55;11039.988;0;5804.713;81462.251
"Sanatorium Kilchberg";49124.809;9203.307;61.696;2009.652;60399.464
"Zentrum für Psychiatrie und Psychotherapie Affoltern";7465.879;883.455;0;0;8349.334
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";344728.798;112476.266;80.253;63571.745;520857.062
"Modellstation SOMOSA";2572.601;95.411;0;3597.519;6265.531
"Kispi Zürich - Psychosomatik und Psychiatrie";4047.152;364.217;0;0;4411.369
"KSW - Sozialpädiatrisches Zentrum";2119.499;5757.17;0;0;7876.669
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";8739.252;6216.798;0;3597.519;18553.569
"Forel Klinik";17307.339;3953.144;0;716.754;21977.237
"Suchtfachklinik Zürich";4750.64;1145.78;0;123.829;6020.249
"USZ - Zentrum für Essstörungen";3370.257;5637.259;0;0;9007.516
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";25428.236;10736.183;0;840.583;37005.002
"Privatklinik Hohenegg";21719.413;1227.742;0;881.808;23828.963
"Total Kanton Zürich";400615.699;130656.989;80.253;68891.655;600244.596
