"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";90265;16693;10012;8925;2762;642;129299
"Psychiatrische Universitätsklinik Zürich - Forensik";8355;7307;3683;1737;10825;0;31907
"Integrierte Psychiatrie Winterthur - ZU";6153;69236;4569;2484;3492;301;86235
"Clienia Privatklinik Schlössli";11665;9077;54137;3808;5223;466;84376
"Sanatorium Kilchberg";16495;8505;7065;23938;7845;709;64557
"Zentrum für Psychiatrie und Psychotherapie Affoltern";2125;1431;1444;3139;2163;49;10351
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";135058;112249;80910;44031;32310;2167;406725
"Psychiatrische Universitätsklinik Zürich - KJPP";7524;3833;5524;3244;116;0;20241
"Modellstation SOMOSA";1112;602;813;281;1795;166;4769
"Kispi Zürich - Psychosomatik und Psychiatrie";1355;801;812;657;596;0;4221
"KSW - Sozialpädiatrisches Zentrum";200;1690;246;0;106;0;2242
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";10191;6926;7395;4182;2613;166;31473
"Forel Klinik";7692;9714;3770;3036;10253;112;34577
"Suchtfachklinik Zürich";3095;2881;2280;1206;1037;0;10499
"USZ - Zentrum für Essstörungen";699;238;112;480;2741;0;4270
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";11486;12833;6162;4722;14031;112;49346
"Privatklinik Hohenegg";4520;2674;3361;2578;10255;436;23824
"Total Kanton Zürich";161255;134682;97828;55513;59209;2881;511368
"Clienia Privatklinik Littenheid";0;0;0;0;0;85944;85944
"Spitäler Schaffhausen";0;0;0;0;0;17885;17885
"Klinik Meissenberg";0;0;0;0;0;23889;23889
"Klinik Sonnenhof";0;0;0;0;0;12853;12853
