"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";256;754;304;854;1172;429;7;354;22;11;17;0;2;4182
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;5;0;0;0;0;0;0;0;49;0;54
"Integrierte Psychiatrie Winterthur - ZU";229;318;153;549;1165;550;9;284;7;27;29;0;1;3321
"Clienia Privatklinik Schlössli";191;371;153;406;1116;254;8;206;16;15;13;0;0;2749
"Sanatorium Kilchberg";160;178;109;266;833;334;6;98;0;6;4;0;1;1995
"Zentrum für Psychiatrie und Psychotherapie Affoltern";2;60;25;49;128;46;75;12;0;0;0;0;0;397
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";838;1681;744;2129;4414;1613;105;954;45;59;63;49;4;12698
"Psychiatrische Universitätsklinik Zürich - KJPP";0;1;4;8;188;40;14;28;0;9;98;0;0;390
"Modellstation SOMOSA";0;0;0;4;8;5;0;2;0;2;15;0;0;36
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;1;13;35;0;0;1;2;0;0;52
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;2;5;14;1;0;0;6;0;0;28
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;1;4;12;199;63;63;31;0;12;121;0;0;506
"Forel Klinik";0;556;33;0;0;0;0;0;0;0;0;0;0;589
"Suchtfachklinik Zürich";0;1;178;2;1;2;0;0;0;0;0;0;0;184
"USZ - Zentrum für Essstörungen";0;0;0;0;0;1;44;0;0;0;0;0;0;45
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;557;211;2;1;3;44;0;0;0;0;0;0;818
"Privatklinik Hohenegg";1;2;1;8;376;95;5;4;0;2;2;0;0;496
"Total Kanton Zürich";839;2241;960;2151;4990;1774;217;989;45;73;186;49;4;14518
"Clienia Privatklinik Littenheid";21;119;148;152;828;501;38;218;3;13;78;;2;2121
"Spitäler Schaffhausen";60;133;43;146;200;126;1;24;2;0;3;;5;743
"Klinik Meissenberg";0;0;0;32;337;50;0;59;0;0;1;;0;479
"Klinik Sonnenhof";0;0;0;3;18;3;2;0;0;5;201;;0;232
