"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";8252;21182;7694;28983;33772;7667;259;9510;640;635;352;0;39;10314;129299
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;671;0;0;0;0;0;0;0;31236;0;0;31907
"Integrierte Psychiatrie Winterthur - ZU";8672;4803;2212;15060;31546;13178;242;8958;92;883;582;0;3;4;86235
"Clienia Privatklinik Schlössli";5651;7962;3088;10000;36373;8502;186;6129;348;370;232;0;0;5535;84376
"Sanatorium Kilchberg";3798;3143;2185;7887;31245;10559;84;1921;0;78;89;0;1;3567;64557
"Zentrum für Psychiatrie und Psychotherapie Affoltern";2;938;439;805;3643;819;3005;185;0;0;0;0;0;515;10351
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";26375;38028;15618;63406;136579;40725;3776;26703;1080;1966;1255;31236;43;19935;406725
"Psychiatrische Universitätsklinik Zürich - KJPP";0;3;99;581;9122;1612;907;1109;0;318;4638;0;0;1852;20241
"Modellstation SOMOSA";0;0;0;273;727;522;0;405;0;277;1191;0;0;1374;4769
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;74;810;2833;0;0;68;25;0;0;411;4221
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;138;396;1020;74;0;0;283;0;0;331;2242
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;3;99;854;10061;3340;4760;1588;0;663;6137;0;0;3968;31473
"Forel Klinik";0;28774;1747;0;0;0;0;0;0;0;0;0;0;4056;34577
"Suchtfachklinik Zürich";0;147;8577;188;4;53;0;0;0;0;0;0;0;1530;10499
"USZ - Zentrum für Essstörungen";0;0;0;0;0;21;3432;0;0;0;0;0;0;817;4270
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;28921;10324;188;4;74;3432;0;0;0;0;0;0;6403;49346
"Privatklinik Hohenegg";50;47;46;298;17364;4430;211;154;0;52;104;0;0;1068;23824
"Total Kanton Zürich";26425;66999;26087;64746;164008;48569;12179;28445;1080;2681;7496;31236;43;31374;511368
"Clienia Privatklinik Littenheid";781;2338;3206;4757;32380;19712;2254;9937;81;348;2890;0;101;7159;85944
"Spitäler Schaffhausen";1075;2424;954;3617;5901;1977;3;457;15;0;20;0;29;1413;17885
"Klinik Meissenberg";0;0;0;858;16175;2327;0;2249;0;0;45;0;0;2235;23889
"Klinik Sonnenhof";0;0;0;236;619;12;337;0;0;163;10154;0;0;1332;12853
