"Spitalname";"Total absolut";"davon Frauen in %";"davon AusländerInnen in %";"davon in Ausbildung in %"
"Zürcher RehaZentrum Wald";425;77.6470588235294;33.8823529411765;16.9411764705882
"RehaClinic Zollikerberg";64;82.8125;39.0625;0
"RehaClinic Kilchberg";58;94.8275862068966;36.2068965517241;3.44827586206897
"Total Kanton Zürich";547;80.073126142596;34.7349177330896;13.5283363802559
"RehaClinic Zurzach";532;80.6390977443609;52.4436090225564;11.8421052631579
"RehaClinic Baden";78;80.7692307692308;46.1538461538462;3.84615384615385
"Rehaklinik Bellikon";521;71.0172744721689;27.447216890595;7.67754318618042
"aarReha Schinznach";250;84;25.2;8
"Reha Rheinfelden";558;75.8064516129032;41.5770609318996;12.1863799283154
"Klinik Gais";181;77.3480662983425;0;3.86740331491713
"Rheinburg-Klinik";174;81.6091954022989;40.2298850574713;2.29885057471264
"REHAB Basel";480;79.375;48.3333333333333;12.9166666666667
"Zürcher RehaZentrum Davos";242;68.1818181818182;45.8677685950413;9.50413223140496
"Reha Seewis";104;75.9615384615385;40.3846153846154;10.5769230769231
"Kliniken Valens, Rehabilitationszentrum";613;71.7781402936378;37.8466557911909;9.9510603588907
"kneipp-hof Dussnang";188;78.7234042553192;39.3617021276596;7.97872340425532
"Rehaklinik Zihlschlacht";457;79.8687089715536;41.5754923413567;17.7242888402626
