"Spitalname";"davon ambulant in %";"davon stationär in %";"davon  Langzeitpflege in %";"davon übrige Aufträge in %"
"Zürcher RehaZentrum Wald";4.20539231905243;94.5253974230973;0;1.26921025785026
"RehaClinic Zollikerberg";4.65083125558846;94.7386277137651;0;0.610541030646446
"RehaClinic Kilchberg";2.74810929091409;95.4991642236542;0;1.75272648543171
"Total Kanton Zürich";4.02446049135859;94.7113839732291;0;1.26415553541231
"RehaClinic Zurzach";0;97.1946354794466;0;2.80536452055341
"RehaClinic Baden";0;99.02955982467;0;0.97044017533002
"Rehaklinik Bellikon";14.3499687613499;85.6500312386501;0;0
"aarReha Schinznach";1.53171638588008;97.8235690878932;0;0.644714526226737
"Reha Rheinfelden";12.6495876949261;87.3504123050739;0;0
"Klinik Gais";0;100;0;0
"Rheinburg-Klinik";0;99.7091172295743;0;0.290882770425682
"REHAB Basel";8.92611456373774;90.8129460258388;0;0.260939410423457
"Zürcher RehaZentrum Davos";2.80705820209224;95.4803294653214;0;1.71261233258633
"Reha Seewis";2.86071397272121;96.875772946749;0;0.263513080529797
"Kliniken Valens, Rehabilitationszentrum";7.04861994446862;91.8976909416357;0;1.05368911389569
"kneipp-hof Dussnang";17.8038910092186;76.552868051425;0;5.64324093935643
"Rehaklinik Zihlschlacht";5.10641689019982;94.4549470864955;0;0.438636023304681
