"Spitalname";"Austritte";"ø-Alter Jahre";"Liegeklasse % HPP";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2168;68.9815498154982;25.8763837638376;78.9667896678967
"RehaClinic Zollikerberg";520;74.7480769230769;45.5769230769231;92.6923076923077
"RehaClinic Kilchberg";294;72.3469387755102;28.9115646258503;84.6938775510204
"Universitätsklinik Balgrist";383;60.934725848564;32.6370757180157;75.1958224543081
"Klinik Susenberg";330;72.0151515151515;53.030303030303;93.3333333333333
"Kinderspital Zürich";192;9.875;11.4583333333333;32.8125
"Klinik Lengg";499;68.9699398797595;35.0701402805611;95.190380761523
"Total Kanton Zürich";4386;66.827633378933;31.4637482900137;81.5549475604195
"RehaClinic Zurzach";3013;66.2173913043478;34.6166611350813;43.7769664785928
"RehaClinic Baden";789;74.5272496831432;15.5893536121673;55.893536121673
"Rehaklinik Bellikon";1508;45.6253315649867;10.8090185676393;27.1220159151194
"aarReha Schinznach";1576;71.5412436548223;25.1269035532995;15.2918781725888
"Reha Rheinfelden";2142;66.437441643324;28.9449112978525;2.66106442577031
"Klinik Gais";1718;60.03434225844;22.0023282887078;21.9441210710128
"Rheinburg-Klinik";759;70.9235836627141;55.862977602108;6.19235836627141
"REHAB Basel";450;53.0333333333333;16.8888888888889;4.44444444444444
"Zürcher RehaZentrum Davos";1582;60.0941845764855;20.7964601769912;56.6371681415929
"Reha Seewis";820;64.6439024390244;27.9268292682927;37.0731707317073
"Kliniken Valens, Rehabilitationszentrum";2780;62.3964028776978;22.841726618705;11.726618705036
"kneipp-hof Dussnang";2008;74.4233067729084;24.8505976095618;51.8924302788845
"Rehaklinik Zihlschlacht";1048;65.388358778626;26.4312977099237;28.8167938931298
