"Spitalname";"2015";"2016";"2017"
"Zürcher RehaZentrum Wald";1760;1723;1712
"RehaClinic Zollikerberg";504;528;482
"RehaClinic Kilchberg";247;245;249
"Universitätsklinik Balgrist";294;304;288
"Klinik Susenberg";355;402;308
"Kinderspital Zürich";81;75;63
"Klinik Lengg";365;431;475
"Zürcher PatientInnen im Kanton Zürich";3606;3708;3577
"Ausserkantonale Kliniken mit Zürcher Leistungsauftrag";;;
"RehaClinic Zurzach";1232;1319;
"RehaClinic Baden";432;441;
"Rehaklinik Bellikon";470;409;
"aarReha Schinznach";220;241;
"Reha Rheinfelden";48;57;
"Klinik Gais";406;377;
"Rheinburg-Klinik";53;47;
"REHAB Basel";9;20;
"Zürcher RehaZentrum Davos";868;896;
"Reha Seewis";304;304;
"Kliniken Valens, Rehabilitationszentrum";316;326;
"kneipp-hof Dussnang";1017;1042;
"Rehaklinik Zihlschlacht";307;302;
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";2302;2751;
"Total Zürcher PatientInnen";11590;12240;
