"RehaLG";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Anzahl Pflegetage"
"Internistisch-onkologisch";1444;67.9404432132964;39.612188365651;19.3808864265928;27030
"Kardiovaskulär";1377;69.1176470588235;32.6071169208424;21.5032679738562;28703
"Muskuloskelettal";5565;70.4808625336927;42.6415094339623;21.355795148248;115429
"Neurologisch";2249;66.5309026233882;33.7927967985771;35.7389951089373;75538
"Psychosomatisch-sozialmedizinisch";501;49.4650698602794;19.1616766467066;32.8383233532934;15648
"Pulmonal";612;66.7516339869281;30.2287581699346;19.8153594771242;11847
"Querschnittslähmung";70;54.5714285714286;22.8571428571429;201.671428571429;2956
"Allgemein pädiatrisch";48;10.6041666666667;4.16666666666667;55.625;2508
"Neurologisch inkl. Neuro-orthopädisch";27;7.22222222222222;14.8148148148148;64.1851851851852;1761
"Übrige Rehabilitation";347;64.4668587896254;32.8530259365994;25.1152737752161;21664
"Total Zürcher PatientInnen";12240;67.6195261437909;37.3447712418301;25.5418300653595;303084
