"Tabelle R2.1 Personalbestand in VZÄ 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle R2.2 Personalbestand in VZÄ nach Berufsgruppen 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle R2.3 Beschäftigte am 31. Dezember 2017 nach Geschlecht, Nationalität und Ausbildungsstatus";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle R3.1 Gesamtkosten nach Leistungsart 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle R3.2 Betriebsaufwand in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle R3.3 Betriebsertrag in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle R4.1 Austritte 2015 -- 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle R4.2 Austritte und verschiedene Merkmale 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle R4.3 Austritte nach Herkunftskanton 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle R4.4 Austritte nach Altersgruppe 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle R4.5 Pflegetage 2015 -- 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle R4.6 Pflegetage nach Altersgruppe 2017";"Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle R4.7 Betriebswirtschaftlicher Bettenbestand 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle R4.8 Bettenbelegung Rehabilitation 2017";"Bettenbetriebstage: Krankenhausstatistik KS, Pflegetage: Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle R5.1 Austritte der Zürcher Wohnbevölkerung 2015 -- 2017";"Bettenbetriebstage: Krankenhausstatistik KS, Pflegetage: Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle R5.2 Austritte, Pflegetage und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2016";"Bettenbetriebstage: Krankenhausstatistik KS, Pflegetage: Medizinische Statistik PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
