"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentrum Wald";25.746;116.396;58.293;44.51;53.126;6;304.071
"RehaClinic Zollikerberg";2.06;17.02;15.88;4.63;6.67;1.72;47.98
"RehaClinic Kilchberg";4.12;19.04;17.15;2.01;6.68;0;49
"Total Kanton Zürich";31.926;152.456;91.323;51.15;66.476;7.72;401.051
"in %";0.0796058356667855;0.380141179052041;0.227709194092522;0.127539888941805;0.165754480103528;0.0192494221433184;1
"RehaClinic Zurzach";32.648;107.972;100.89;83.674;60.266;0;385.45
"RehaClinic Baden";12.01;16.36;11.67;1.98;16.1;0;58.12
"Rehaklinik Bellikon";41.474;109.036;114.992;67.296;76.476;27.204;436.478
"aarReha Schinznach";15.992;54.034;35.983;25.316;30.888;3.52;165.733
"Reha Rheinfelden";21.632;128.774;128.237;60.988;62.94;15.69;418.261
"Klinik Gais";17.82;16.76;29.522;23.37;41.13;0;128.602
"Rheinburg-Klinik";7.77;45.69;37.85;12.25;26.026;1;130.586
"REHAB Basel";26.712;152.468;78.652;52.19;32.67;10.38;353.072
"Zürcher RehaZentrum Davos";14.652;45.968;25.488;28.39;51.58;5.9;171.978
"Reha Seewis";7.57;15.876;9.148;8.61;28.898;1.54;71.642
"Kliniken Valens, Rehazentrum Valens";40.772;201.954;98.909;75.71;98.23;15.538;531.113
"Rehaklinik Dussnang";6.42;32.669;25.533;22.144;68.386;3;158.152
"Rehaklinik Zihlschlacht";17.78;141.533;85.009;18.306;41.282;7.16;311.07
