"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";34;0.0681226207172911;961;1.92546583850932;13005;26.0569024243639;24054;48.1947505509918;11856;23.7547585654178;49910
"RehaClinic Zollikerberg";0;0;81;0.70385818561001;1251;10.8706986444213;5014;43.5696906499826;5162;44.8557525199861;11508
"RehaClinic Kilchberg";0;0;154;1.32450331125828;2271;19.5321235056334;5328;45.8243743011955;3874;33.3189988819128;11627
"Universitätsklinik Balgrist";141;0.997947483898365;1703;12.0532238658079;5571;39.4295420765801;5104;36.1242833887749;1610;11.3950031849388;14129
"Klinik Susenberg";0;0;44;0.731382978723404;1468;24.4015957446809;2560;42.5531914893617;1944;32.313829787234;6016
"Kinderspital Zürich";10745;99.666079213431;36;0.333920786568964;0;0;0;0;0;0;10781
"Klinik Lengg";21;0.139767054908486;611;4.06655574043261;4233;28.1730449251248;6120;40.7321131447587;4040;26.8885191347754;15025
"Total Kanton Zürich";10941;9.1944267034186;3590;3.01690813136576;27799;23.3612894551077;48180;40.4887559245689;28486;23.938619785539;118996
"RehaClinic Zurzach";338;0.456171131655307;3786;5.10965652203253;23559;31.795667723868;30009;40.5007085498347;16403;22.1377960726095;74095
"RehaClinic Baden";0;0;122;0.841089279558773;2545;17.5456739055498;6160;42.4681144432954;5678;39.145122371596;14505
"Rehaklinik Bellikon";1060;1.85059096702107;15241;26.6083555928002;34890;60.9123762635521;5161;9.01028300075071;927;1.61839417587598;57279
"aarReha Schinznach";126;0.379849868861355;1033;3.11416598836333;7777;23.4451780169425;12939;39.0069639142625;11296;34.0538422115703;33171
"Reha Rheinfelden";126;0.202143361355323;3288;5.27497914393891;19719;31.6354360521081;24744;39.6971058204454;14455;23.1903356221523;62332
"Klinik Gais";0;0;985;4.12807510163028;9413;39.4493105905033;10694;44.8179036922174;2769;11.604710615649;23861
"Rheinburg-Klinik";0;0;337;1.62794067919424;5165;24.9504854837931;9498;45.8818414569344;5701;27.5397323800783;20701
"REHAB Basel";674;2.12076397847771;6214;19.5525628520185;15669;49.3030426984676;8199;25.7984330260218;1025;3.22519744501432;31781
"Zürcher RehaZentrum Davos";266;0.799110763961907;3925;11.7913900321447;15885;47.7213326523868;10098;30.3361672725088;3113;9.35199927899781;33287
"Reha Seewis";0;0;769;4.0965267419561;8827;47.0221606648199;7413;39.4896654591945;1763;9.39164713402941;18772
"Kliniken Valens, Rehazentrum Valens";620;0.854630165687977;5351;7.37600970418769;29640;40.8568356628898;25617;35.3113886361757;11318;15.6011358310589;72546
"Rehaklinik Dussnang";27;0.0830871491875923;183;0.56314623338257;4837;14.8849089118661;14739;45.3563515509601;12710;39.1125061546036;32496
"Rehaklinik Zihlschlacht";184;0.376678676711431;3459;7.08114968883066;17569;35.9666721257779;20565;42.0999836226662;7071;14.4755158860138;48848
