"Tabelle R2.1 Personalbestand in VZÄ 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, ausserkantonale Kliniken Daten 2016-2017"
"Tabelle R2.2 Personalbestand in VZÄ nach Berufsgruppen 2018";"Krankenhausstatistik KS Daten 2018, ausserkantonale Kliniken: Daten 2017"
"Tabelle R2.3 Beschäftigte am 31. Dezember 2018 nach Geschlecht, Diplomherkunft und Ausbildungsstatus";"Krankenhausstatistik KS Daten 2018, ausserkantonale Kliniken Daten 2017"
"Tabelle R3.1 Kostenverteilung nach Leistungsart 2018";"Krankenhausstatistik KS Daten 2018, ausserkantonale Kliniken Daten 2017"
"Tabelle R3.2 Betriebsaufwand in 1000 Fr. 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, ausserkantonale Kliniken Daten 2016-2017"
"Tabelle R3.3 Betriebsertrag in 1000 Fr. 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, ausserkantonale Kliniken Daten 2016-2017"
"Tabelle R4.1 Austritte 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2016-2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle R4.2 Austritte und verschiedene Merkmale 2018";"Medizinische Statistik PRISMA Daten 2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017"
"Tabelle R4.3 Austritte nach Herkunftskanton 2018";"Medizinische Statistik PRISMA Daten 2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017"
"Tabelle R4.4 Austritte nach Altersgruppe 2018";"Medizinische Statistik PRISMA Daten 2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017"
"Tabelle R4.5 Pflegetage 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2016-2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle R4.6 Pflegetage nach Altersgruppe 2018";"Medizinische Statistik PRISMA Daten 2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017"
"Tabelle R4.7 Bettenbestand 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, ausserkantonale Kliniken: Daten 2016-2017"
"Tabelle R4.8 Bettenbelegung 2016 -- 2018";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2016-2018, Pflegetage: Medizinische Statistik PRISMA Daten 2016-2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle R5.1 Austritte der Zürcher Wohnbevölkerung 2016 -- 2018";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2016-2018, Pflegetage: Medizinische Statistik PRISMA Daten 2016-2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle R5.2 Austritte, Pflegetage und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2017";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2017, Pflegetage: Medizinische Statistik PRISMA Daten 2017, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017"
