"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";3;17;3;123;3;3;24;4;0;2;0;1;26;12;1;132;13;16;23;4;0;0;1;0;0;411;1829;8;2248
"RehaClinic Zollikerberg";2;2;0;2;0;0;0;1;0;0;1;0;0;0;0;9;2;4;2;1;1;1;2;1;0;31;545;1;577
"RehaClinic Kilchberg";1;1;0;12;0;1;0;4;0;2;0;0;1;0;1;1;1;9;1;2;0;0;0;0;0;37;245;0;282
"RehaClinic Limmattal";2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;10;25;0;35
"Universitätsklinik Balgrist";5;5;1;8;0;0;3;3;0;3;0;0;6;0;0;17;1;15;11;5;1;2;0;0;0;86;280;12;378
"Klinik Susenberg";0;1;0;6;0;0;2;0;0;0;1;0;2;0;0;3;0;7;1;0;1;0;0;0;0;24;232;8;264
"Kinderspital Zürich";19;13;0;12;2;1;2;5;3;8;1;3;4;0;0;11;1;17;6;0;5;0;0;0;2;115;71;8;194
"Klinik Lengg";2;9;1;6;0;0;0;5;0;2;1;0;8;0;0;7;1;9;1;0;0;1;0;0;0;53;451;1;505
"Total Kanton Zürich";34;48;5;169;5;5;31;24;3;17;4;4;47;12;2;182;19;81;45;12;8;4;3;1;2;767;3678;38;4483
"RehaClinic Zurzach";79;91;2;39;8;9;8;29;9;79;39;43;64;5;1;31;11;986;23;18;1;4;2;5;0;1586;1195;29;2810
"RehaClinic Baden";6;7;0;1;0;0;3;0;0;16;0;4;2;0;0;5;0;461;2;0;0;0;0;1;0;508;586;11;1105
"Rehaklinik Bellikon";107;89;6;42;7;10;11;20;7;63;38;45;23;7;2;80;24;329;66;13;3;4;1;0;1;998;458;78;1534
"aarReha Schinznach";21;45;1;4;0;3;2;4;2;184;1;4;2;0;0;7;3;1041;2;0;0;0;0;0;0;1326;248;4;1578
"Reha Rheinfelden";36;52;1;5;6;2;1;8;3;200;224;567;2;0;0;3;2;873;5;3;1;3;0;0;6;2003;38;53;2094
"Klinik Gais";8;17;3;9;5;5;5;5;0;6;1;9;60;77;19;440;7;27;108;4;0;1;0;0;0;816;180;24;1020
"Rheinburg-Klinik";4;2;1;1;0;0;2;0;0;0;1;0;3;106;19;464;3;0;49;3;0;0;0;0;0;658;34;46;738
"REHAB Basel";19;13;1;2;1;1;0;3;3;22;130;163;2;1;0;2;2;32;0;7;2;4;3;0;20;433;10;43;486
"Zürcher RehaZentrum Davos";5;14;1;14;1;2;3;11;0;5;2;6;16;16;3;106;428;33;25;10;0;2;0;0;0;703;802;23;1528
"Reha Seewis";1;25;7;59;1;5;18;10;0;1;0;1;15;3;4;116;104;28;7;4;0;0;0;0;0;409;266;25;700
"Kliniken Valens, Rehazentrum Valens";24;36;4;133;6;8;82;13;4;20;9;23;15;40;19;1219;582;31;38;10;1;5;0;1;0;2323;319;174;2816
"Rehaklinik Dussnang";2;2;0;15;0;0;5;1;0;1;0;0;14;68;7;511;3;9;358;1;0;0;0;0;0;997;944;9;1950
"Rehaklinik Zihlschlacht";5;8;1;11;0;0;3;2;0;3;2;0;48;32;11;259;2;17;371;4;0;0;0;0;0;779;322;23;1124
