"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Zürcher RehaZentren";612;72.3856209150327;25.6535947712418;14.3790849673203
"RehaClinic Zollikerberg";64;84.375;40.625;6.25
"RehaClinic Kilchberg";74;78.3783783783784;25.6756756756757;8.10810810810811
"RehaClinic Limmattal";29;79.3103448275862;31.0344827586207;3.44827586206897
"Total Kanton Zürich";779;74.1976893453145;27.0860077021823;12.7086007702182
"RehaClinic Zurzach";516;78.2945736434108;45.1550387596899;19.3798449612403
"RehaClinic Baden";114;79.8245614035088;42.9824561403509;10.5263157894737
"Rehaklinik Bellikon";609;71.9211822660099;24.4663382594417;12.807881773399
"aarReha Schinznach";337;84.86646884273;18.6943620178042;12.7596439169139
"Reha Rheinfelden";635;75.2755905511811;34.9606299212598;12.5984251968504
"Klinik Gais";241;80.9128630705394;30.2904564315353;6.63900414937759
"Rheinburg-Klinik";184;81.5217391304348;33.1521739130435;6.52173913043478
"REHAB Basel";553;81.1934900542496;42.8571428571429;10.3074141048825
"Rehaklinik Seewis";92;78.2608695652174;15.2173913043478;6.52173913043478
"Kliniken Valens, Rehazentrum Valens";620;75.3225806451613;23.5483870967742;10.3225806451613
"Rehaklinik Dussnang";227;75.7709251101322;26.8722466960352;7.04845814977974
"Rehaklinik Zihlschlacht";446;83.1838565022422;32.0627802690583;10.5381165919283
