"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";2215;2248;2106;-6.31672597864769
"RehaClinic Zollikerberg";576;577;549;-4.8526863084922
"RehaClinic Kilchberg";294;282;282;0
"RehaClinic Limmattal";;35;144;311.428571428571
"Universitätsklinik Balgrist";417;378;319;-15.6084656084656
"Klinik Susenberg";313;264;265;0.37878787878789
"Kinderspital Zürich";191;194;193;-0.515463917525771
"Klinik Lengg";478;505;518;2.57425742574258
"Total Kanton Zürich";4484;4483;4376;-2.38679455721615
"RehaClinic Zurzach";2810;2791;;-0.676156583629894
"RehaClinic Baden";489;587;;20.040899795501
"Rehaklinik Bellikon";1534;1586;;3.38983050847457
"aarReha Schinznach";1478;1393;;-5.7510148849797
"Reha Rheinfelden";2094;2347;;12.0821394460363
"Klinik Gais";1020;1143;;12.0588235294118
"Rheinburg-Klinik";738;770;;4.33604336043361
"REHAB Basel";486;501;;3.08641975308641
"Zürcher RehaZentrum Davos";1528;1398;;-8.50785340314136
"Rehaklinik Seewis";700;727;;3.85714285714285
"Kliniken Valens, Rehazentrum Valens";1824;1805;;-1.04166666666666
"Rehaklinik Dussnang";1950;1913;;-1.8974358974359
"Rehaklinik Zihlschlacht";1124;1145;;1.86832740213523
