"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Zürcher RehaZentren";608;73.0263157894737;27.3026315789474;14.6381578947368
"Rehaklinik Zollikerberg";59;86.4406779661017;40.6779661016949;1.69491525423729
"Rehaklinik Kilchberg";72;81.9444444444444;25;4.16666666666667
"Total Kanton Zürich";739;74.9661705006766;28.1461434370771;12.5845737483085
"Rehaklinik Zurzach";514;77.2373540856031;44.5525291828794;21.9844357976654
"Rehaklinik Baden";113;82.3008849557522;40.7079646017699;8.84955752212389
"Rehaklinik Bellikon";672;72.9166666666667;25.297619047619;13.2440476190476
"aarReha Schinznach";366;87.9781420765027;19.672131147541;11.4754098360656
"Reha Rheinfelden";670;77.0149253731343;34.3283582089552;13.7313432835821
"Klinik Gais";284;76.7605633802817;28.5211267605634;6.33802816901408
"Rheinburg-Klinik";188;84.5744680851064;31.3829787234043;6.38297872340426
"REHAB Basel";571;80.0350262697023;41.6812609457093;11.2084063047285
"Rehaklinik Seewis";91;80.2197802197802;13.1868131868132;8.79120879120879
"Kliniken Valens, Rehazentrum Valens";675;75.4074074074074;24.1481481481481;10.3703703703704
"Rehaklinik Dussnang";227;75.7709251101322;26.8722466960352;7.04845814977974
"Rehaklinik Zihlschlacht";483;80.5383022774327;30.4347826086957;15.7349896480331
