"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Zürcher RehaZentren";63687.698;873.755;0;4060.365;68621.818
"Rehaklinik Zollikerberg";8932.579;569.912;0;9.321;9511.812
"Rehaklinik Kilchberg";11072.553;540.478;0;168.073;11781.104
"Universitätsklinik Balgrist";23229.134;8927.762;0;1475.595;33632.491
"Klinik Susenberg";6118.016;96.402;0;0;6214.418
"Kinderspital Zürich";18515.04;1969.015;0;2040.67;22524.725
"Klinik Lengg";18158.43;2754.722;0;0;20913.152
"Total Kanton Zürich";149713.45;15732.046;0;7754.024;173199.52
"Rehaklinik Zurzach";49052.934;3336.139;0;6925.035;59314.108
"Rehaklinik Baden";13228.225;345.813;0;723.602;14297.64
"Rehaklinik Bellikon";69328.813;15856.747;0;8313.122;93498.682
"aarReha Schinznach";31035.273;3292.315;0;251.501;34579.089
"Reha Rheinfelden";54676.878;7215.473;0;797.74;62690.091
"Klinik Gais";14910.336;52.042;0;0;14962.378
"Rheinburg-Klinik";19191.247;424.631;0;221.946;19837.824
"REHAB Basel";57330.706;5414.857;0;533.663;63279.226
"Rehaklinik Seewis";9452.291;212.672;0;1.11;9666.073
"Kliniken Valens, Rehazentrum Valens";64185.898;5432.126;0;7238.918;76856.942
"Rehaklinik Dussnang";23049.016;3112.46;0;2552.176;28713.652
"Rehaklinik Zihlschlacht";48925.205;2896.129;0;284.72;52106.054
