"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Zürcher RehaZentren";1.27329036954398;92.8096921011332;0;5.91701752932282
"Rehaklinik Zollikerberg";5.99162388827702;93.9103821648283;0;0.0979939468946611
"Rehaklinik Kilchberg";4.58766852410436;93.9856994726471;0;1.42663200324859
"Universitätsklinik Balgrist";26.545051331464;69.0675394813902;0;4.38740918714585
"Klinik Susenberg";1.55126352942464;98.4487364705754;0;0
"Kinderspital Zürich";8.74157176169742;82.1987393852755;0;9.05968885302706
"Klinik Lengg";13.1721990066347;86.8278009933653;0;0
"Total Kanton Zürich";9.08319260930977;86.4398758148983;0;4.4769315757919
"Rehaklinik Zurzach";5.6245286534529;82.7002810191464;0;11.6751903274007
"Rehaklinik Baden";2.41867189270397;92.5203390209853;0;5.06098908631075
"Rehaklinik Bellikon";16.959326763558;74.1495083321067;0;8.89116490433523
"aarReha Schinznach";9.5211154926609;89.7515634376603;0;0.727321069678846
"Reha Rheinfelden";11.5097504005856;87.2177358938592;0;1.27251370555516
"Klinik Gais";0.347819043202892;99.6521809567971;0;0
"Rheinburg-Klinik";2.14051198357239;96.7406858736119;0;1.11880214281566
"REHAB Basel";8.55708475321743;90.5995689643865;0;0.843346282396058
"Rehaklinik Seewis";2.20019029444532;97.7883262416909;0;0.0114834638637635
"Kliniken Valens, Rehazentrum Valens";7.06784040405875;83.5134684385439;0;9.41869115739734
"Rehaklinik Dussnang";10.8396521626716;80.2719765496914;0;8.88837128763697
"Rehaklinik Zihlschlacht";5.55814301347786;93.8954329567923;0;0.546424029729828
