"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";51870;49549;53623;8.22216391854529
"Rehaklinik Zollikerberg";11757;11348;11758;3.61297144871342
"Rehaklinik Kilchberg";11647;10848;11811;8.87721238938053
"Rehaklinik Limmattal";1447;5154;1157;-77.5514163756306
"Universitätsklinik Balgrist";14426;12528;12505;-0.183588761174969
"Klinik Susenberg";5070;5640;5426;-3.79432624113475
"Kinderspital Zürich";10185;10044;11426;13.7594583831143
"Klinik Lengg";15544;16192;18199;12.3950098814229
"Total Kanton Zürich";121946;121303;125905;3.79380559425571
"Rehaklinik Zurzach";76946;70795;;-7.99391781249188
"Rehaklinik Baden";11952;11331;;-5.19578313253012
"Rehaklinik Bellikon";67399;65222;;-3.23001824952892
"aarReha Schinznach";30738;34969;;13.7647211920099
"Reha Rheinfelden";70643;67350;;-4.66146681199836
"Klinik Gais";26876;25447;;-5.3170114600387
"Rheinburg-Klinik";21858;21701;;-0.718272486046301
"REHAB Basel";27801;27094;;-2.54307399014424
"Zürcher RehaZentrum Davos";32319;34711;;7.40121909712552
"Rehaklinik Seewis";17313;16433;;-5.08288569283197
"Kliniken Valens, Rehazentrum Valens";49630;55136;;11.0940963127141
"Rehaklinik Dussnang";35245;36817;;4.46020712157753
"Rehaklinik Zihlschlacht";43673;46731;;7.00203787236966
