"RehaLG";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"MAHD (Tage)";"Anzahl Pflegetage"
"Muskuloskelettal";5039;72.2315935701528;42.9847191903155;22.2899384798571;109621
"Neurologisch";2418;67.7224979321754;31.0173697270471;37.5314309346567;86039
"Querschnittslähmung";171;58.3216374269006;22.8070175438596;47.4327485380117;6990
"Kardiovaskulär";1266;69.2227488151659;33.0173775671406;22.3546603475513;27273
"Pulmonal";494;67.3663967611336;24.0890688259109;22.0607287449393;10406
"Internistisch-onkologisch";1360;68.5308823529412;36.9852941176471;21.2213235294118;28051
"Psychosomatisch-sozialmedizinisch";647;49.9567233384853;15.4559505409583;34.6692426584235;20966
"Neurologisch inkl. Neuro-orthopädisch (Kinder)";31;9.25806451612903;19.3548387096774;61.3225806451613;1269
"Allgemein pädiatrisch";34;10.0882352941176;11.7647058823529;48.6470588235294;1592
"Übrige Rehabilitation";465;66.5634408602151;30.5376344086021;22.5182795698925;16344
"Total Zürcher PatientInnen";11925;68.4043605870021;35.6142557651992;26.4736268343816;308551
