"Spitalname";"Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2188;70.0626142595978;23.8574040219378;80.6672760511883
"Rehaklinik Zollikerberg";631;74.648177496038;40.095087163233;91.6006339144216
"Rehaklinik Kilchberg";321;70.7040498442368;20.2492211838006;82.2429906542056
"Universitätsklinik Balgrist";227;56.7004405286344;28.6343612334802;60.352422907489
"Klinik Susenberg";218;73.697247706422;55.045871559633;90.8256880733945
"Kinderspital Zürich";234;9.47008547008547;13.2478632478632;32.9059829059829
"Klinik Lengg";557;68.1615798922801;34.1113105924596;87.6122082585278
"Total Kanton Zürich";4376;66.7767367458867;28.473491773309;80.1416819012797
"Rehaklinik Zurzach";2668;67.7616191904048;29.2353823088456;41.9790104947526
"Rehaklinik Baden";653;75.2021439509954;15.7733537519142;41.8070444104135
"Rehaklinik Bellikon";1669;51.19532654284;17.9149191132415;32.8340323547034
"aarReha Schinznach";1760;72.8443181818182;24.4318181818182;15.7954545454545
"Reha Rheinfelden";2339;71.0059854638734;27.4476271911073;0.726806327490381
"Klinik Gais";1282;64.100624024961;20.2808112324493;17.1606864274571
"Rheinburg-Klinik";739;70.7171853856563;36.1299052774019;2.84167794316644
"REHAB Basel";520;54.5615384615385;11.7307692307692;2.5
"Zürcher RehaZentrum Davos";1370;60.1102189781022;21.970802919708;55.036496350365
"Rehaklinik Seewis";746;66.671581769437;19.8391420911528;39.9463806970509
"Kliniken Valens, Rehazentrum Valens";2295;63.2322440087146;33.5947712418301;16.6013071895425
"Rehaklinik Dussnang";2050;75.9736585365854;24.5853658536585;50.8292682926829
"Rehaklinik Zihlschlacht";1484;66.605795148248;31.8733153638814;34.7035040431267
